Activity Number,ISIC Code,License Type,Activity Name,Description
AM-01903,910001,Services,Natural Gas and Oil Well Drilling,Natural Gas and Oil Well Drilling
AM-01904,910002,Services,Natural Gas and Oil Well Repair and Maintenance,"Repair and maintenance operations for oil and natural gas wells using various techniques and protecting them from corrosion or interaction with surrounding natural materials or to extend the life of their use, maintenance or re-drilling"
AM-01906,4322008,Services,Electromechanical Equipment Installation & Maintenance,"Installation and testing of mechanical and electromechanical equipment and machinery such as workshop and factory equipment, power generation machines, loading, lifting and traction equipment, cool rooms, refrigeration equipment, automatic laundromat equipment and other"
AM-01916,1010102,Industrial,Meat Products Manufacturing,"Manufacture of food products extracted or made from meat such as sausages, canned minced meat, minced steaks (hamburgers) and others such as salami, pudding, ""andweit"", marinated sausages, bologna meat, meat cakes, etc. This does not include starch"
AM-01917,1010902,Industrial,Poultry Products Manufacturing,"Manufacture food products extracted or made from poultry meat, such as minced poultry meat, slices, sausages, shredded meat or processed parts, including processing, marinating and packaging them in packages or cans so that they are suitable for consumption"
AM-01918,1061003,Industrial,Cereal Food Manufacturing,"Prepare grains and grains and manufacture them for the production of dry food materials, such as the production of mash, grain, semolina, cornflakes, quaker and others."
AM-01919,1020001,Services,Fish and Seafood Canning,"Canning fish and its products such as fish, snails, etc., in sealed containers"
AM-01921,1020001,Services,Fish and Seafood Preparing,"Processing of fish and seafood suitable for human consumption, packaging them in specific packages or bags and freezing them in condition suitable for consumption. This activity does not include the production of oils and fats from marine materials,"
AM-01922,1061005,Services,Rice Husking and Polishing,"Peeling, bleaching and polishing rice"
AM-01925,1079099,Industrial,Food Stuff Manufacturing,Other Activities Related to Manufacture of Other Food Products N.E.C
AM-01926,1080003,Industrial,Animal Feed Manufacturing,"Produce food intended for animals or birds raised inside homes, including canned, preserved and dried foods such as grains, seeds, fruits and meat of all kinds, as well as health foods provided to them such as vitamins and tonics"
AM-01927,1030001,Services,Fruits Canning and Packaging,Fruit canning and packaging
AM-01928,1071001,Industrial,Bread Manufacturing,"Includes the manufacture of fresh, frozen or dry bakery products, such as bread, rolls, pastry, cakes, pies, tarts, rusks, snack products, biscuits, crackers, and pretzels."
AM-01929,1030002,Services,Vegetables Canning and Packaging,Vegetable canning and packaging
AM-01930,1071002,Industrial,Sweets and Pies Manufacturing,Manufacture pies and sweets
AM-01932,1071005,Industrial,Biscuits Manufacturing,Manufacture biscuits
AM-01933,1030003,Industrial,Tomato Paste Manufacturing,Manufacture tomato past
AM-01935,1030008,Industrial,Freezing fruits and vegetables,Freeze fruits and vegetables
AM-01936,1030006,Industrial,Potato Chips Manufacturing,Freeze fruits and vegetables
AM-01937,1030005,Services,Dry Fruit and Vegetable Packaging,Drying and packing of fruits and vegetables
AM-01938,1061010,Industrial,Cheese Balls Manufacturing,Puffed and crispy corn covered with cheese or cheese flavored
AM-01940,1072001,Industrial,Crude Sugar Refining,Crude Sugar Refining
AM-01941,1030012,Industrial,Jam Manufacturing,"Prepare jam from fresh, seasonal perishable fruits as a means of preserving and storing them."
AM-01942,1072002,Industrial,Manufacturing of Sugar Cubes,Manufacturing of Sugar Cubes
AM-01943,1030013,Industrial,Pickles Manufacturing,"Producing pickles of fruits, fruits, vegetables and other agricultural crops and packing them in commercial packages so that they are ready for marketing to the consumer directly, or packing them in economic packages for marketing to commercial and industrial institutions."
AM-01944,1072003,Industrial,Sugar Packaging,"Refill refined sugar in consumer packages so that it is ready for final use, whether in its normal state, in the form of cubes or powder, without introducing any processing or other processes on it before filling it."
AM-01945,1040101,Industrial,Vegetable Oil Production and Refining,"Produce vegetable oils from their raw materials of grains and seeds such as corn oil, sunflower oil, soybean oil and others, or from vegetables such as garlic, lettuce, watercress and others, which are extracted from them in a way of juicing, and this activity includes refining"
